source,functions,application
Kebony Character,provide-naturality; deliver-durability; offer-sustainability,wooden cladding for buildings
Kebony Clear,impregnate-wood; engineer-decking; create-cladding,sustainable wood cladding for buildings
Kedroplast,reduce fatigue; increase muscular efficiency; improve mind clarity; relieve irritability; alleviate allergic symptoms,interior panels for spas and saunas
KEIM Lignosil-Verano,simulate-colour; change-surface; equalise-visual; treat-surface,exterior wood facade treatment
Kenetix Spacer,provide insulation; allow stretch,thermal insulation fabric for casual wear
Kepla-coat,improve-corrosion resistance; provide-wear protection; ensure-anti-friction properties; prevent-infiltration of gases; resist-mechanical stress,high-precision rotors in turbo molecular pumps
KerAion,decompose-micro-organisms; reduce-air-pollutants; prevent-growth; ensure-creative-freedom; provide-invisible-fastening; allow-rapid-installation,facade panels for large buildings
Keralpor,support-noun; diffuse-gases; reduce-strain; avoid-adherence,sintering base for ceramic components
Kerama facade cladding,provide weather-resistant; offer low-maintenance; support acoustic performance; ensure fire-resistant,exterior façade cladding system
KeraTwin,decompose-microorganisms; reduce-air-pollutants; provide-design-freedom; enable-easy-installation,facade system for buildings
KERLOC,provide-facades; enable-recycling; ensure-colour-stability,sustainable building facade panels
Kerrigan Architectural Tile,create-tile; provide-aesthetic; resist-weather; offer-durability,large format architectural wall tiles
Kerto Laminated Veneer Lumber,provide structural support; offer dimensional stability; enable construction versatility,beams and joists for building structures
Kevlar,provide-high strength; offer-thermal stability; resist-chemical degradation,protective clothing for industrial workers
Ki-Kern,provide fascia cladding; offer low maintenance; ensure durability; maintain form stability; resist impact,fascia cladding for buildings
Ki-ori Tennâge,combine-nature; weave-textile; adapt-technology; create-fabric,Japanese Kimono textile
Kilkenny,render fireproof; biodegrade naturally; protect skin,fireproof soft furnishings
Kiln cast glass,transform-surface; enhance-textures; produce-textured; cut-complex shapes; drill-countersunk,architectural decorative panel
Kilolux Glass,provide-weather-seal; comply-specifications; offer-compressive-strength,weather-sealed glazing system for buildings
King W,weaving-yarns; resisting-UV; withstanding-water; furnishing-areas,outdoor carpet for terraces and balconies
Kingskin,create-textile; soften-leather; stiffen-cardboard,textile for traditional clothing
Kintyre,create texture; provide comfort; match interiors,comfortable sofas and armchairs
Kirei Board,construct-panel; heat-press-adhesive; reduce-emissions; provide-revenue,interior architectural millwork panels
Kisho,create-dimensional appearance; suit-upholstery; provide-soft texture,upholstered cushions and chairs
Klimatec,regulate-heat fluxes; prevent-mold; absorb-sound; bridge-cracks,interior insulation system for energy conservation
KLP-Greenmatter,provide UV resistance; ensure longevity; enable recyclability,artificial turf replacement
KLP Recycled Panels,provide durability; resist weather; allow maintenance-free use; enable easy cleaning; support natural appearance,exterior wall cladding panels for buildings
3d textiles knitted and woven,provide cushioning; reduce noise; support seating,office chair upholstery
Knitted steel fabric,provide-protection; feature-dampening; offer-shielding; be-washable,protective garments for fire safety
Knitted Walls,provide-nontraditional texture; create-tactile value; suggest-woollen appearance,tactile ceramic wall finish
KNOFtex,provide-sound insulation; provide-heat insulation; create-decorative wall panels,soundproof wall panels
Knotty,create-surface; allow-drainage; increase-functionality; embody-materiality,outdoor and indoor furniture
KNOxOUT,convert gases; generate free radicals; break down pollutants; provide self-cleaning properties; offer anti-bacterial properties; deliver de-odorizing effects,air cleaning paint for exterior surfaces
Ko-Bol,support-structure; divide-space; accent-architecture; create-lighting,window and wall treatments
KO-SI natural fibres,provide comfort; regulate moisture; insulate heat; absorb water; prevent discomfort,padding material for mattresses and upholstered furniture
Kollamat,provide-comfortable feel; regulate-humidity; insulate-heat; offer-natural optics; create-lively surfaces,injection moulded components with high quality feel
Komanda,provide-breathability; offer-durability; ensure-softness; resist-abrasion; maintain-strength,arc flash protective clothing
Decorated Lava Stone,highlight-nature; provide-drainage; resist-thermal-bridge; offer-mechanical-resistance,surface drainage systems for outdoor foot paths
Freehand drawing,enable decoration; apply colour; create patterns,hand-decorated stoneware tableware
Silk screen printed lava stone,create pattern; provide anti-slip; enhance surface finish,floor tiles with decorative patterns
Koraflex,replace-noun; conform-noun; guarantee-noun; resist-noun; recycle-noun,roof waterproofing membrane
Koroseal,manufacture-wallcoverings; activate-fire-detection; provide-protection; resist-scratch; suit-high-traffic,fire-detection activated wallcovering
Koskilaser,provide-smooth surface; offer-durability; enhance-translucence,kitchen fittings and cabinetry
Koskisound,reduce sound; insulate air-borne sound; damp structure-borne sound,sound reduction boards for transport vehicle floors
Koukoutsi,manufacture-furniture; coat-surfaces; resist-water; apply-easily,coated indoor and outdoor surfaces
Kova Textiles,create fabrics; pass light; provide translucence; offer flammability resistance; demonstrate lightfastness,translucent wall hangings and room dividers
Kovalex,provide-resistance; enable-construction; allow-recycling,interior wall and floor panels
Koyo Ibushi Arare,absorb-moisture; release-moisture; regulate-humidity; absorb-smells; emit-far-infrared-rays,humidity-regulating wall panels
Koyo Ibushi Tiles,absorb moisture; release humidity; regulate smells; emit far-infrared rays,humidity-regulating wall tiles
Koziol,combine-module; tailor-installation; create-decoration,modular interior design elements
Kraftplex relief,provide stability; enable flexibility; allow shapeability; offer electrical insulation; support biodegradability,3D-shaped wooden sheeting for interior design
Kraftplex,transform-noun; cut-noun; treat-noun; create-noun; cover-noun,decorative wall covering for interior design
Aluminium chain links,facilitate integration; allow light flow; enable customization; provide durability; maintain spaciousness,interior design installations
KristalPrint,print-noun; resist-UV; resist-scratch; ensure-durability; merge-aesthetics-functionality,bespoke wall finishes
Kromatafor,morph-colour; crossfade-colour; create-visual intrigue,colour-shifting leather goods
Krystal Weave,combine-novelty; provide-translucence; offer-fire resistance; create-aesthetic,commercial window coverings
Kugelgarn,provide wear resistance; absorb sound; conduct warmth; allow easy repair,floor covering for high-traffic areas
Kuii,mouldability-noun; flexibility-noun; versatility-noun; laser cutting-noun; hand sewing-noun; machine sewing-noun,faux leather accessories
KuiperFoam,reduce weight; provide stiffness; offer hardness; resist water; insulate electrically,lightweight structural panels for vehicle construction
Kuipertec,provide lightweight panels; offer high stiffness; resist water and detergents; enable easy bonding; allow sawing and drilling,bulkhead material for partitions
Kumiko,assemble-nails; fit-individually; make-adjustments,decorative sliding door
KUMPU,fire-retardant-fabric; knitted-surface; acoustic-insulation,high-end home decoration textiles
Kunrader® stone,load-bearing wall; interior detail,architectural stonework for buildings
Kuori,create-naturally biodegradable granules; minimise-environmental impact; reduce-carbon emissions; support-circular economy; integrate-into production lines,footwear components
Kurz Foils,provide-brand-name-protection; increase-security; offer-design-possibilities; create-metallic-effects; allow-precise-registration,decorative packaging for consumer products
Kynol Fibres and Textiles,provide flame resistance; emit minimal smoke; offer electrical insulation; offer thermal insulation,fire-resistant textile for protective clothing
L-SIM,provide structural support; offer reflective appearance; resist chemical degradation; withstand high impact; allow translucence,decorative curved surface panels
Lace 3D print on tulle,mimic-look; mimic-feel; 3D-printing-pattern,decorative textile for fashion accessories
Lace & Latex,coat-lace; manipulate-characteristics; produce-drape; maintain-stretch,decorative fashion fabric
Lace Paving Slabs,reveal-noun; convert-noun; aid-noun,decorative wall and floor tiles
LaceFence,prevent climbing; hide surroundings; enhance aesthetics; deal with weather; provide custom look,decorative fencing for residential and commercial use
Lacquered Strié,create-pattern; provide-durability; enable-washability,interior wall covering with embossed pattern
laif®,improve air circulation; enhance water vapour transmission; provide comfort; reduce stickiness,upholstered soft furnishings
Lama color,create-panel; accentuate-shape; stain-film; decorate-textile,decorative interior wall panels
Laminate Edition 1,provide-flooring; protect-surface; enable-quick-assembly,interior flooring solution
Laminated glass,laminate-fabric; provide-safety; allow-drilling; enhance-aesthetics,decorative glass panels for interiors
Laminated Linoleum,create-plate; resist-scratch; resist-water,table tops and chair seats
Laminated series,laminate-panel; color-match-facings; provide-lightweight-structure,translucent feature wall panels
Laminil,provide thermal protection; offer lightweight packaging; enable die-cutting; allow direct printing,luxury packaging for cosmetics
Lam’Slab,resist-organic solvents; resist-inorganic solvents; prevent-bacterial growth; resist-scratching; resist-fire,surface for commercial kitchens
"Lana Lumière, Fil & Ruban",create-transparent; emboss-sharp; deboss-create; enhance-appearance,high-quality greeting cards
Lana wool mycelium composite,repurpose-wool waste; create-composites; promote-circular use; address-waste issue; contribute-local economy,mycelium-based composite panels for architecture
Lana,create atmosphere; provide insulation; absorb sound; resist stains; offer comfort,in-between curtain fabric collection
Langotec,provide insulation; reinforce structures; emit temperature,dimensionally-stable heating sleeves
Lanisor,absorb sound; enhance acoustics; dissipate noise,acoustic wall panels
Laricross,bonding-core; producing-structure; providing-resistance; maintaining-conductivity,lightweight structural panel for durable projects
Lariks Hollands Hout facade cladding,resist-fungi; resist-insects; optimize-stability; allow-untreated-mounting,exterior facade cladding
Las Vegas Rock,facilitate LEED certification; customize design; provide durability; offer aesthetic appeal; enable polishing; allow honing,exterior facade cladding for buildings
Lasertec,cut-component; drill-component; texture-surface; shape-mold,precision tools with defined cutting edges
Lateral lighting fibre elements,transmission of light; managed emission of light; increased mechanical resistance; sewing into textile garments,light-emitting textile piping
Latho Relief Panels,press-structure; finish-lacquer; create-look; provide-fire-retardant; offer-moisture-resistance,decorative wall panels with unique structures
Lattice Structures,provide flexibility; support loads; filter liquids,architectural support structures
Laucork,provide insulation; offer sound absorption; create decorative surfaces,cork wall tiles for interior design
‏Lava Tiles (Flower print),create-wall covering; create-floor covering; provide-moisture resistance; provide-thermal insulation; withstand-high temperature,decorative wall and floor tiles
Lava Tiles (glazed),create-non-slip surfaces; provide-thermal insulation; resist-moisture; withstand-high temperatures,decorative wall and floor coverings
Lava Tiles (Natural),create-wall covering; create-floor covering; provide-moisture resistance; provide-thermal insulation; enhance-texture,textured wall and floor coverings
Lava tiles,solidify-surface; pave-pathways; colonize-vegetation,outdoor paving tiles for pathways
Le Pavé® recycled plastic panel,provide versatility; offer creative capital; ensure fire resistance; allow customization; enable easy cleaning,worktop for interior design projects
Leadax Roov,reflective-nature; temperature-regulation; fire-resistant-properties; recyclable-material,flat roofing membrane
Leap,upcycle-material; customize-product; reduce-emissions; minimize-water-use,small leather goods
Leather Belt Floor Tiles,create-surface; provide-durability; offer-aesthetic,luxury flooring tiles
Leather Floor Tile,provide-dimension; resist-water; enhance-aesthetics; offer-durability,water repellent floor tiles
Leather Floor Tiles,maintain-durability; provide-insulation; offer-sturdiness; deliver-warmth,flooring for meditation rooms
Leather floor tiles,provide flooring; decorate surfaces; offer colour shades,residential and nautical flooring
Leather look tiles,provide-nature; simulate-leather; offer-durability,interior wall and floor tiles
Leather-Tiles,provide insulation; absorb sound; offer comfort; create aesthetic designs,insulated flooring tiles
Leather Tiles,laser-engraved pattern; debossed texture; maze-layered design,luxurious wall tiles for interior spaces
Leather tiles,provide-durability; muffle-sound; offer-softness; improve-aesthetics,textured floor covering
Leather W-all Fashion,create-design; dress-surface; attach-panels; remove-panels,modular wall paneling system
Leather Wall Tile,provide aesthetic; allow natural markings; adhere to surfaces,decorative wall covering
Leatherlike paper,resemble-leather; provide-style; offer-tactile-experience; enable-luxury-printing; facilitate-packaging,luxury packaging for fashion products
LeatherLOK,provide-noun; conceal-noun; create-noun; make-noun,woven wall surfacing system
LeatherTile,provide-sound absorbency; provide-heat insulation; improve-age,sound-absorbing wall tiles
Leatherweaves,reduce overheating; offer treatment; provide creativity; create unique aesthetics,woven leather upholstery for luxury vehicles
LED-ART,create-installations; combine-light; enhance-effect; react-environment,interactive light installations
Transparent LED Film,embed-LEDs; laminate-glass; produce-custom-designs,laminated glass tables with embedded LEDs
LED Gallon,integrate-light; provide-luminescence; enable-washing; allow-stitching,illuminated textile tape for garments
LED Light Sheet,deliver-illumination; transport-light; stay-cool; provide-lighting-solution,backlighting panel for retail displays
LED Wallpaper,illuminate-rooms; create-atmosphere; provide-customization,ambient lighting wall covering
Leech,weave-skin; fabricate-chair; design-furniture,handcrafted modern chair
Leek paper,make-paper; wrap-vegetables; explain-nutrition,biodegradable vegetable wrapping paper
Léém clay plaster & paint,provide-finish; create-texture; offer-breathability,internal wall and ceiling coating
Leemsteen (Dutch clay bricks),regulate-climate; retain-heat; neutralize-pollutants; prevent-mould,load-bearing and non-bearing walls
Legno-Legno,provide warmth; offer sound absorption; create a smooth texture,laminated wooden carpet
Lemonpack,neutralizes-bacterial agents; enhances-objects; provides-soundproofing,customized decorative glass block
Leno & Knitted reinforced film,provide-cover; enhance-lifetime; offer-protection,temporary protective cover for scaffolding
Lenpur,absorb moisture; release humidity; provide comfort; resist odour; reduce static,high fashion knit fabrics
Lenstile,produce optical effect; feel soft; be plastically deformed,decorative wall tiles
Lenticular sheets,create-image; provide-depth; enhance-visuals,3D visual display panels
Lenz,create depth; shift color; change shape; provide translucence; offer design variation,semi-transparent architectural panels
Levitiles,reflective-surface; textured-surface; high-resolution-printing; customized-sizes,decorative wall and floor tiles
LEXAN film,provide-scratch resistance; offer-light diffusion; maximize-light transmission; enhance-clarity; ensure-flame retardancy,anti-fog lenses for eyewear
Lexan,create-nonstandard shapes; provide-transparency; offer-lightweight properties,semi-transparent façade panels
Hi-MACS,adopt forms; enable aesthetic realizations; meet quality standards; ensure functionality; provide hygiene,solid surface countertops
Liapor,reduce-weight concrete; control-size granules; create-lightweight panels,lightweight concrete bricks
LiCrete,maintain-strength; allow-translucency; enable-stacking; facilitate-quick-construction,translucent architectural building blocks
LifeLine,bind-polymers; resist-fire; produce-energy,flooring for schools and hospitals
Light diffusers collection,diffuse-light; transmit-light; ensure-quality,light-diffusing sheets and tubes
Light Emitting Film,produce-bright light; show-uniformity; control-brightness; combine-with backlit film,3D animated display panels
Light montage,interact-user; change-patterns; play-sensorial,interactive indoor textile installation
Light paper,integrate optical fibres; create smooth surface; emit light,light emitting wallpaper
Light tape,produce-light; activate-system; backlight-signage; wrap-around-corners; consume-energy,flexible light-emitting lamp for signage
Light transmitting veneered panel,transmit-light; enhance-aesthetics; provide-solidarity,backlit decorative wall panel
Lightben Acoustic,enhance-acoustic performance; provide-stiffness; create-partitioning,acoustic partitioning panel for interiors
Lightben Mini,create-transparency; allow-colour-shading; provide-light-weight; offer-stiffness; enable-easy-cutting,translucent interior paneling
Lightben,reacts with light; creates semi-transparent effect; provides fire resistance; offers UV protection,backlit partition wall
LightBeton,bond-noun; demonstrate-adjective; equip-noun; transform-verb,lightweight acoustic flooring panels
LightBlocks,transmit-light; resist-impact; adapt-application,translucent room partitions
Lightfader,displace-fluid; hold-weight; resist-scratch,interactive light floor system
Lightweight Acoustics,absorb sound; reduce noise; provide fire resistance,sound-absorbing wall panels for offices
Lightweight Boards,minimize-weight; provide-bending-strength; resist-moisture; offer-decorative-finish,lightweight wall panels for interior design
Lightweight Concrete,provide-acoustic protection; bonding-panel surfaces; coat-horizontal applications; support-cut sheets,acoustic wall panels for retail spaces
Lightweight natural stone,bonding-panel; enhancing-edge finish; mounting-system; creating-seamless walls,lightweight stone wall panels
Lignacore Premium,produce-finish; offer-consistency; apply-lacquer,prefinished wood veneer sheets on MDF boards
Lignasil,manufacture components; replace plastics; mold surfaces,precision molded components for various industries
LIGNIFY OAK,provide-flame retardancy; offer-antibacterial properties; absorb-UV light; ensure-durability,leather alternative for fashion accessories
Ligno Foam Material,provide lightweight structure; offer good weather resistance; ensure moderate chemical resistance,lightweight furniture components
LigNo Leather,serve-alternative; be-biodegradable; consist-biobased,sustainable shoes for fashion
LigNo Plastic,offer-sustainable alternative; maintain-compostability; integrate-renewable resources,shoe soles
Lignoloc wooden nails,drive-nail; weld-nail; provide-alternative,wooden fastening system for construction
Lignostone,stacking layers; compressing sheets; joining with resin,structural insulation for electrical apparatus
LignoTUBE,produce-tubes; create-hollow body; enable-processing flexibility,lightweight structural tubes for furniture design
Limix,absorb VOC gasses; kill bacteria; regulate humidity; provide customized textures; achieve hardness comparable to marble,high-pressure wall tiles with customized effects
Line-X,create-barrier; protect-equipment; bond-materials; resist-abrasion; dampen-vibration,secondary containment system for hazardous materials
Linear Diffuser Lenses,diffuse-light; elongate-light,glare-free window lenses
Linear,provide structural support; resist weathering; allow for aesthetic design,exterior masonry wall
Linen textile,weave-fabric; dye-fabric; embroider-fabric,high quality curtain and upholstery fabrics
LinoPulpo,reduce waste; optimize resources; provide sound absorption; allow wet moulding; create unique aesthetics,acoustic sound panels
Liquid Crystal “Color-Change” Collection,change color; laminate substrates; encapsulate chemicals,color-changing wall panels
Liquid Glass,resist-dirt; make-surfaces easier to clean; prevent-bacterial growth; apply-coating,anti-graffiti surface treatment
Liquidmetal,optimize-properties; tailor-composition; exceed-strength-limits,high-performance sports equipment
Liquidwood,combine-properties; process-thermoplastics; produce-materials,architectural components using injection moulding
Liquifloor,move-liquid; swirl-liquid; seal-tile; provide-colour,tough floor tiles with dynamic effects
Lisbon,provide-toughness; offer-flexibility; resist-moisture; resist-mould; ensure-low-maintenance,weatherproof tile for high-traffic areas
Liscio,create-brick; polish-surface; minimize-joints,lightweight concrete brick with natural stone layer
lisocore®,provide-lightweight construction; ensure-high-strength bonding; create-material-efficient structure,lightweight structural panels for furniture
Lithoplast,create-material; shape-material; transform-waste,experimental composite for sustainable design
Litracon pXL,create-nontransparent surfaces; design-patterns; form-3D objects,illuminated wall panels
LiTraCon,transmit-light; illuminate-darkness; create-shadows; adjust-mixture; produce-aesthetic-effects,light-transmitting architectural blocks
Living Colour,produce-dyes; colour-textiles; reduce-water; reduce-energy; eliminate-hazardous-chemicals,biodegradable dye for textiles
Living Colours,resist-UV-light; resist-sea-water; provide-durability; offer-colour-variety,outdoor artificial grass carpet
Living Pavement tiles,promote-biodiversity; provide-rainwater infiltration; support-spontaneous growth,pavement tiles for urban landscapes
Loam construction panel,regulates moisture; provides thermal insulation; neutralises air pollutants; absorbs odours; protects against fungi,moisture-regulating wall panels for wet rooms
Loam and hemp panels,regulating-moisture; attaching-panels; cutting-size,moisture-regulating building panels
Local textile,handwoven-textile; used-curtains; used-lamp shades; used-wall panels,indoor decorative wall panels
LockTiles,interlock-tile; replace-tile; prevent-fraying-edge; install-surface,interlocking carpet tile flooring
lokaReboon,provide strength; offer abrasion resistance; preserve colour,recycled balloon-based decorative items
Lokta paper,provide strength; offer durability; resist insects; enable printing,handmade decorative paper products
Loops,manipulate-weaving; create-texture; reflect-light,decorative wall hanging
Louverscreen,block-sunrays; offer-shade; provide-ventilation; reduce-reflection; require-minimized maintenance,solar control window shading system
LOVR™,minimise dependency; capture CO₂; reduce waste; support sustainable supply chain; return to soil,biodegradable textile for fashion
Luccon Veneer,form-noun; conjure-noun; resist-noun,backlit architectural panels
Luccon,conduct-light; provide-strength; allow-translucence,architectural wall panels
LUCEM Label,transmit-light; create-patterns; design-signs; form-panels; provide-water-repellency,light transmitting wall panels and floor tiles
LUCEM Line,transmit-light; provide-translucence; resist-heat; resist-cold; resist-UV-rays,translucent wall cladding
LUCEM Starlight,transmit-light; create-visual-effect; provide-durability; ensure-easy-installation,backlit architectural panels
Lumaglass,generate-light; highlight-architecture; illuminate-interior,electroluminescent glass wall system
LUMEX®,ensure printing results; offer resistance to weathering; provide impact resistance; enable coldbending applications; facilitate vacuum forming,transparent and translucent display panels
Lumi-Onyx,provide-noun; decorate-noun; create-noun,decorative wall panels
Lumi-tiles,provide-non-slip layer; save-energy; meet-ISO standards; deliver-durability,emergency lighting in public spaces
Lumiblade Oled,emit light; produce constant light; seal layers,embedded lighting system in furniture
Lumicast,capture-objects; provide-translucence; create-decorative panels,decorative wall panels for interior design
Lumicor,embed-textiles; transmit-light; form-variety; accommodate-curves,light diffusion panels
LumiGram,emit-colored light; produce-luminous effect,high tech fashion accessories
Lumine,filter-light; insert-optical fiber; provide-structure,light-filtering wall panels
Luminescent Textile,integrate-yarn; provide-design-opportunities; allow-braiding,safety clothing with photoluminescent features
Luminex,illuminate-LEDs; distribute-light,light-emitting textile for interior design
LuminOre on Glass,coat-glass; enable-mixing; achieve-border,thermopane glazing outer layer
LuminOre on Tiles,create-patterns; apply-coating; enhance-durability; improve-heat-transfer,decorative tiles with metallic finishes
Luminoso,conduct-light; provide-strength; embed-fibre optical waveguides,decorative lighting panels
Luminous Concrete,reinforce-fibreglass; resist-water; glow-photoluminescent,facade cladding with luminescent features
Luminous Glass,emit-luminous energy; provide-visual appeal; enable-custom designs,luminous wall tiles
Luminous Patterns,create-light; enhance-space; infuse-pattern; stimulate-senses,dynamic lighting panels for architectural features
Lumiscopic,create-illuminated surfaces; vary-colour; apply-decorative graphic,large-scale lighting panel
Lumistone,emit afterglow; ensure durability; provide flame resistance,emergency exit signage with photoluminescent features
Lumisty,scatter-light; transmit-light; control-view; enhance-appearance,view control window film for retail displays
Luna® trout leather,minimize-impact; easy-to-use; innovative-material,ornamental leather goods
Luna,highlight-nesting; encourage-exploration; invite-participation,handcrafted glass and aluminum tile collection
Lupine fibreboard,stabilise-soil; decompose-biodegradably; remove-bitter compounds,biodegradable insulation board for construction
Lustralite,create-surface; add-sheen; provide-texture; create-pattern,decorative laminates with textured finishes
Lustre,resist-wear; adhere-quality-standards; provide-durability; offer-hygiene; resist-chemical-stains,floor tiles for high traffic areas
Luxalon Multi-panel BXD Ceiling,create-designs; provide-visual-effects; highlight-versatility,directional ceiling system
Luxar,reduce-reflectance; provide-durability; allow-handling; enable-invisibility,anti-reflective glass for facades
Luxepad,create-insulation; maintain-properties; reduce-waste; blend-fibres; transform-materials,high performing insulating pad
Luxurious Lycra,provide elasticity; enhance comfort; offer durability; resist chloride,swimwear and active sports apparel
Luxury Fabric,provide softness; offer fire resistance; enable upholstery,upholstered furniture
Luxury Vinyl,provide-floor covering; offer-patterns; play-with-eyes,durable floor covering solution
Luxury walls,apply-noun; cover-noun; weave-noun,decorative wall coverings
LW Light Weight Board,provide-non-combustibility; enable-ease of handling; allow-smooth painting; offer-durability; ensure-sound proofing,non-combustible internal lining for partitions
Lycra with ceramic,prevent-transparency; enhance-durability,swimming wear that remains opaque
M-EcoDeck,provide-decking; offer-non-slip; enable-repair; allow-recycling,eco-friendly outdoor decking solution
M2uur,produce-wall panels; install-facing panels; incorporate-digital images,custom printed wall and façade coverings
Mactan tiles,create-tile; provide-aesthetic; offer-customization,decorative wall and floor tiles
Mad,provide-structural support; offer-aesthetic appeal; resist-water damage; protect-surface integrity,interior wall panels
Madeira,provide decoration; serve as wall covering; maintain aesthetic appeal,indoor decorative wall mosaic
MADOCA,apply-nontransparent; manufacture-panel blinds; create-lampshades; enable-UV ink printing,panel blinds and vertical blinds
Madras,modify-glass; corrode-surface; deliver-panel,shower enclosure panels
Mafi Fresco,act-massage; provide-flooring; finish-natural-oil,wellness area flooring
Magic Motion,create-non-static images; visualize-linear movement; switch-images; zoom-in-out; morph-images,three-dimensional display technology
Magic Panel,provide-heat; ensure-efficiency; secure-protection,energy-efficient heating panel
Magink,change-color; compress-spring; expand-spring; create-design; provide-range,digital display system
Maglia Metallica,enable flexibility; provide durability; offer strength,flexible metal mesh for architectural facades
Magma,conserve-wood; charred-character; combine-accent; develop-structure; create-pattern,charred wood paneling for interiors
Magna Glaskeramik,reduce-waste; enhance-aesthetics; provide-durability; support-sustainability,custom-cut architectural panels
Magnetic Floor,reduce-emissions; provide-easy-removal; ensure-safety,magnetic floor tiles
Magnetic leather wall and floor tiles,covering-wall; covering-floor; mounting-magnets; demounting-magnets; cleaning-easily,indoor wall and floor covering tiles
Magnetic zipper,magnetically attach; automatically align; lock into place,one-handed closing zipper for winter wear
Magoxid-coat,improve-surface properties; provide-wear protection; provide-corrosion protection; meet-hardness requirements; ensure-dimensional accuracy; allow-lubricant absorption,coating for automotive clutch components
Magpaint,allow magnets; transform wall; build layer; strengthen receptivity,magnetic receptive wall surface
Mainox,resist-wear; be-waterproof; be-easy to clean,interior wall tiles
Majestic Gemstone,manufacturing-surfaces; cutting-processed; designing-home,inlaid stone tabletops
Makrofol,provide clarity; offer impact resistance; enable light diffusion; allow easy thermoforming; support excellent ink adhesion,automotive instrument panels
Makustik,generate-acoustic value; achieve-absorption values; integrate-insulation,acoustic panels for sports halls
Makustik,absorbent-element; transparent-element; prevent-sound-propagation; absorb-sound,acoustic ceiling lamps and screens
Malabar,provide-fire-resistance; create-texture; enhance-acoustics,acoustic wall panels
Malai biocomposite,provide flexibility; offer water resistance; serve as leather alternative; enable seamless moulding,biocomposite sheets for sustainable fashion accessories
Maldives,recycle-glass; create-mosaic; reflect-light; transmit-visuals,decorative wall tiles
Manulatex,weaving-mail; producing-luxury material; providing-protection,protective clothing and curtains
Manureality,provide structural support; offer sustainable building; replace traditional materials,interior wall panels
Mappy foam,sound-insulating material; self-extinguishing foam; chemical-resistant material; moisture-resistant material,sound insulation in partition walls
Mar-Carbon Diago/Cot,provide-waterproofing; offer-durability; ensure-flexibility,boat coverings and gym mats
Mar-Pol 1000 Piramidi,create-tarpaulin; provide-waterproofing; offer-fire resistance,technical waterproof bags
Marble,provide warmth; create texture; prevent shedding; offer resilience,hand-woven carpet with unique structure
Marbon,join-using adhesive; offer-natural look; provide-hygienic surface,integrated countertop design
Marbré,provide-non-slip surface; offer-durability; resist-scratching; support-high-traffic use,custom marbled floor covering
Marinedeck,reduce heat loss; provide non-skid surface; offer fire resistance; allow easy cleaning,non-skid deck surface for boats
Marinex Bearings,provide mechanical strength; resist shear; resist creep; resist marine growth; machine without dust; maintain dimensional stability,marine shaft and rudder bearings
Markspelle textiles,provide-fire resistance; offer-wash-ability; ensure-durability; enable-climate control,interior textiles for climate control in modern architecture
Marlan,resist-water; resist-temperature; resist-stains; provide-hygiene; allow-repair,bathroom vanities and sinks
MARMODUR Marble Composite Flooring,withstand-traffic; create-floor; resist-wear; revitalize-floor,seamless flooring for laboratories and factories
Marmoleum CO2 neutral,reduce-CO2; provide-sustainability; create-beautiful-environment,CO2 neutral flooring solution
Marmoleum Marbled,provide-nature; enhance-aesthetic; combine-surface,sustainable floor covering
Marmoleum Modular,create-floor; sustainability-enhance; design-allow,sustainable flooring tiles
Marmoreal,engineered-noun; suitable-noun; customisation-noun,architectural surface tiles and slabs
Marmoroc,provide aesthetic appeal; enable easy replacement; offer weather resistance; create façade patterns,facade cladding for multi-storey buildings
Marquetry,create patterns; apply designs; enhance aesthetics; incorporate textures; combine materials,decorative wall panels
Marwoolus,create unique products; coat walls; form table tops,indoor wall coating and table tops
Masa,reduce transmission; increase hydrophilicity; achieve adhesion; control thermal; provide anti-bacterial,washable sports apparel
Mastalmond,colorant-pigment; enhance-sustainability; additive-filler,biodegradable plastic masterbatch for toys
Master lens,create-modern effect; provide-translucence; enhance-aesthetics,decorative wall paneling
Masterfoam,seal-water; isolate-vibration; insulate-acoustic; insulate-temperature,self-adhesive sealing strips for windows
Matt Lacquer,create-smooth finish; reduce-reflectance; allow-brilliant colors,decorative laminate panels
Matterpieces,reduce reliance; divert waste; lower emissions; enhance aesthetics,premium cladding material for building facades
MATTR™,offer-alternative; reduce-reliance; enable-biodegradation; withstand-abrasion; allow-adaptability; provide-customization,upholstery for automotive interiors
Matude Woodline Graphite Random,absorb-sound; create-dynamic-effect; facilitate-assembly,acoustic wall panel system
MBI Concrete facing bricks,provide-structure; offer-aesthetic; ensure-durability; simplify-installation,interior wall cladding with textured finish
MD Expanded Metal façade cladding,create-facade; provide-sun-control; allow-transparency; enable-fixing; reduce-waste,sun-resistant facade cladding
MD lighting elements,emit light; illuminate dynamically; resist scratches; display colours,illuminated glass panels for interior lighting
Meadow Board,provide-acoustical qualities; offer-fire resistance; ensure-dimensional stability; allow-custom molding,interior wall paneling
The meat project,recycle-material; decellularise-process; shape-object; dry-object; glue-material; dye-material,lighting objects inspired by bacteria
Mechnochromic material,change colour; change transparency; respond to stimuli,smart window technology
MediaMesh,integrate-digital imagery; display-full video quality; control-LEDs remotely; install-transparent system,transparent media façade for advertising
MedTextra,manage moisture; deliver active ingredients; shed excess moisture; hold moisture,self-moisturising textile for drug delivery
