source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
lana lumière fil ruban,create transparent,emboss sharp,deboss create,enhance appearance,,,high quality greeting cards
lana wool mycelium composite,repurpose wool waste,create composites,promote circular use,address waste issue,contribute local economy,,mycelium based composite panels for architecture
lana,create atmosphere,provide insulation,absorb sound,resist stains,offer comfort,,in between curtain fabric collection
langotec,provide insulation,reinforce structures,emit temperature,,,,dimensionally stable heating sleeves
laricross,bonding core,producing structure,providing resistance,maintaining conductivity,,,lightweight structural panel for durable projects
lariks hollands hout facade cladding,resist fungi,resist insects,optimize stability,allow untreated mounting,,,exterior facade cladding
lasertec,cut component,drill component,texture surface,shape mold,,,precision tools with defined cutting edges
lateral lighting fibre elements,transmission of light,managed emission of light,increased mechanical resistance,sewing into textile garments,,,light emitting textile piping
latho relief panels,press structure,finish lacquer,create look,provide fire retardant,offer moisture resistance,,decorative wall panels with unique structures
lattice structures,provide flexibility,support loads,filter liquids,,,,architectural support structures
laucork,provide insulation,offer sound absorption,create decorative surfaces,,,,cork wall tiles for interior design
lava tiles glazed,create non slip surfaces,provide thermal insulation,resist moisture,withstand high temperatures,,,decorative wall and floor coverings
lava tiles natural,create wall covering,create floor covering,provide moisture resistance,provide thermal insulation,enhance texture,,textured wall and floor coverings
lava tiles,solidify surface,pave pathways,colonize vegetation,,,,outdoor paving tiles for pathways
le pavé recycled plastic panel,provide versatility,offer creative capital,ensure fire resistance,allow customization,enable easy cleaning,,worktop for interior design projects
leadax roov,reflective nature,temperature regulation,fire resistant properties,recyclable material,,,flat roofing membrane
leap,upcycle material,customize product,reduce emissions,minimize water use,,,small leather goods
leather belt floor tiles,create surface,provide durability,offer aesthetic,,,,luxury flooring tiles
leather floor tile,provide dimension,resist water,enhance aesthetics,offer durability,,,water repellent floor tiles
leather floor tiles,maintain durability,provide insulation,offer sturdiness,deliver warmth,,,flooring for meditation rooms
leather tiles,provide insulation,absorb sound,offer comfort,create aesthetic designs,,,insulated flooring tiles
leather w all fashion,create design,dress surface,attach panels,remove panels,,,modular wall paneling system
leatherlike paper,resemble leather,provide style,offer tactile experience,enable luxury printing,facilitate packaging,,luxury packaging for fashion products
leatherlok,provide noun,conceal noun,create noun,make noun,,,woven wall surfacing system
leathertile,provide sound absorbency,provide heat insulation,improve age,,,,sound absorbing wall tiles
leatherweaves,reduce overheating,offer treatment,provide creativity,create unique aesthetics,,,woven leather upholstery for luxury vehicles
led art,create installations,combine light,enhance effect,react environment,,,interactive light installations
transparent led film,embed leds,laminate glass,produce custom designs,,,,laminated glass tables with embedded leds
led gallon,integrate light,provide luminescence,enable washing,allow stitching,,,illuminated textile tape for garments
led light sheet,deliver illumination,transport light,stay cool,provide lighting solution,,,backlighting panel for retail displays
led wallpaper,illuminate rooms,create atmosphere,provide customization,,,,ambient lighting wall covering
leech,weave skin,fabricate chair,design furniture,,,,handcrafted modern chair
leek paper,make paper,wrap vegetables,explain nutrition,,,,biodegradable vegetable wrapping paper
léém clay plaster paint,provide finish,create texture,offer breathability,,,,internal wall and ceiling coating
leemsteen dutch clay bricks,regulate climate,retain heat,neutralize pollutants,prevent mould,,,load bearing and non bearing walls
legno legno,provide warmth,offer sound absorption,create a smooth texture,,,,laminated wooden carpet
lemonpack,neutralizes bacterial agents,enhances objects,provides soundproofing,,,,customized decorative glass block
leno knitted reinforced film,provide cover,enhance lifetime,offer protection,,,,temporary protective cover for scaffolding
lenpur,absorb moisture,release humidity,provide comfort,resist odour,reduce static,,high fashion knit fabrics
lenticular sheets,create image,provide depth,enhance visuals,,,,3d visual display panels
lenz,create depth,shift color,change shape,provide translucence,offer design variation,,semi transparent architectural panels
lexan film,provide scratch resistance,offer light diffusion,maximize light transmission,enhance clarity,ensure flame retardancy,,anti fog lenses for eyewear
lexan,create nonstandard shapes,provide transparency,offer lightweight properties,,,,semi transparent façade panels
liapor,reduce weight concrete,control size granules,create lightweight panels,,,,lightweight concrete bricks
licrete,maintain strength,allow translucency,enable stacking,facilitate quick construction,,,translucent architectural building blocks
lifeline,bind polymers,resist fire,produce energy,,,,flooring for schools and hospitals
light diffusers collection,diffuse light,transmit light,ensure quality,,,,light diffusing sheets and tubes
light emitting film,produce bright light,show uniformity,control brightness,combine with backlit film,,,3d animated display panels
light montage,interact user,change patterns,play sensorial,,,,interactive indoor textile installation
light paper,integrate optical fibres,create smooth surface,emit light,,,,light emitting wallpaper
light tape,produce light,activate system,backlight signage,wrap around corners,consume energy,,flexible light emitting lamp for signage
light transmitting veneered panel,transmit light,enhance aesthetics,provide solidarity,,,,backlit decorative wall panel
lightben acoustic,enhance acoustic performance,provide stiffness,create partitioning,,,,acoustic partitioning panel for interiors
lightben mini,create transparency,allow colour shading,provide light weight,offer stiffness,enable easy cutting,,translucent interior paneling
lightben,reacts with light,creates semi transparent effect,provides fire resistance,offers uv protection,,,backlit partition wall
lightbeton,bond noun,demonstrate adjective,equip noun,transform verb,,,lightweight acoustic flooring panels
lightblocks,transmit light,resist impact,adapt application,,,,translucent room partitions
lightfader,displace fluid,hold weight,resist scratch,,,,interactive light floor system
lightweight acoustics,absorb sound,reduce noise,provide fire resistance,,,,sound absorbing wall panels for offices
lightweight boards,minimize weight,provide bending strength,resist moisture,offer decorative finish,,,lightweight wall panels for interior design
lightweight concrete,provide acoustic protection,bonding panel surfaces,coat horizontal applications,support cut sheets,,,acoustic wall panels for retail spaces
lightweight natural stone,bonding panel,enhancing edge finish,mounting system,creating seamless walls,,,lightweight stone wall panels
lignacore premium,produce finish,offer consistency,apply lacquer,,,,prefinished wood veneer sheets on mdf boards
lignasil,manufacture components,replace plastics,mold surfaces,,,,precision molded components for various industries
lignify oak,provide flame retardancy,offer antibacterial properties,absorb uv light,ensure durability,,,leather alternative for fashion accessories
ligno foam material,provide lightweight structure,offer good weather resistance,ensure moderate chemical resistance,,,,lightweight furniture components
ligno leather,serve alternative,be biodegradable,consist biobased,,,,sustainable shoes for fashion
ligno plastic,offer sustainable alternative,maintain compostability,integrate renewable resources,,,,shoe soles
lignoloc wooden nails,drive nail,weld nail,provide alternative,,,,wooden fastening system for construction
lignostone,stacking layers,compressing sheets,joining with resin,,,,structural insulation for electrical apparatus
lignotube,produce tubes,create hollow body,enable processing flexibility,,,,lightweight structural tubes for furniture design
limix,absorb voc gasses,kill bacteria,regulate humidity,provide customized textures,achieve hardness comparable to marble,,high pressure wall tiles with customized effects
line x,create barrier,protect equipment,bond materials,resist abrasion,dampen vibration,,secondary containment system for hazardous materials
linear diffuser lenses,diffuse light,elongate light,,,,,glare free window lenses
linear,provide structural support,resist weathering,allow for aesthetic design,,,,exterior masonry wall
linen textile,weave fabric,dye fabric,embroider fabric,,,,high quality curtain and upholstery fabrics
linopulpo,reduce waste,optimize resources,provide sound absorption,allow wet moulding,create unique aesthetics,,acoustic sound panels
liquid crystal color change collection,change color,laminate substrates,encapsulate chemicals,,,,color changing wall panels
liquid glass,resist dirt,make surfaces easier to clean,prevent bacterial growth,apply coating,,,anti graffiti surface treatment
liquidmetal,optimize properties,tailor composition,exceed strength limits,,,,high performance sports equipment
liquidwood,combine properties,process thermoplastics,produce materials,,,,architectural components using injection moulding
liquifloor,move liquid,swirl liquid,seal tile,provide colour,,,tough floor tiles with dynamic effects
lisbon,provide toughness,offer flexibility,resist moisture,resist mould,ensure low maintenance,,weatherproof tile for high traffic areas
liscio,create brick,polish surface,minimize joints,,,,lightweight concrete brick with natural stone layer
lisocore,provide lightweight construction,ensure high strength bonding,create material efficient structure,,,,lightweight structural panels for furniture
lithoplast,create material,shape material,transform waste,,,,experimental composite for sustainable design
litracon pxl,create nontransparent surfaces,design patterns,form 3d objects,,,,illuminated wall panels
litracon,transmit light,illuminate darkness,create shadows,adjust mixture,produce aesthetic effects,,light transmitting architectural blocks
living colour,produce dyes,colour textiles,reduce water,reduce energy,eliminate hazardous chemicals,,biodegradable dye for textiles
living colours,resist uv light,resist sea water,provide durability,offer colour variety,,,outdoor artificial grass carpet
living pavement tiles,promote biodiversity,provide rainwater infiltration,support spontaneous growth,,,,pavement tiles for urban landscapes
loam construction panel,regulates moisture,provides thermal insulation,neutralises air pollutants,absorbs odours,protects against fungi,,moisture regulating wall panels for wet rooms
loam and hemp panels,regulating moisture,attaching panels,cutting size,,,,moisture regulating building panels
local textile,handwoven textile,used curtains,used lamp shades,used wall panels,,,indoor decorative wall panels
locktiles,interlock tile,replace tile,prevent fraying edge,install surface,,,interlocking carpet tile flooring
lokareboon,provide strength,offer abrasion resistance,preserve colour,,,,recycled balloon based decorative items
lokta paper,provide strength,offer durability,resist insects,enable printing,,,handmade decorative paper products
loops,manipulate weaving,create texture,reflect light,,,,decorative wall hanging
louverscreen,block sunrays,offer shade,provide ventilation,reduce reflection,require minimized maintenance,,solar control window shading system
lovrtm,minimise dependency,capture co2,reduce waste,support sustainable supply chain,return to soil,,biodegradable textile for fashion
luccon veneer,form noun,conjure noun,resist noun,,,,backlit architectural panels
lucem label,transmit light,create patterns,design signs,form panels,provide water repellency,,light transmitting wall panels and floor tiles
lucem line,transmit light,provide translucence,resist heat,resist cold,resist uv rays,,translucent wall cladding
lumaglass,generate light,highlight architecture,illuminate interior,,,,electroluminescent glass wall system
lumex,ensure printing results,offer resistance to weathering,provide impact resistance,enable coldbending applications,facilitate vacuum forming,,transparent and translucent display panels
lumi tiles,provide non slip layer,save energy,meet iso standards,deliver durability,,,emergency lighting in public spaces
lumiblade oled,emit light,produce constant light,seal layers,,,,embedded lighting system in furniture
lumicast,capture objects,provide translucence,create decorative panels,,,,decorative wall panels for interior design
lumicor,embed textiles,transmit light,form variety,accommodate curves,,,light diffusion panels
lumigram,emit colored light,produce luminous effect,,,,,high tech fashion accessories
lumine,filter light,insert optical fiber,provide structure,,,,light filtering wall panels
luminescent textile,integrate yarn,provide design opportunities,allow braiding,,,,safety clothing with photoluminescent features
luminex,illuminate leds,distribute light,,,,,light emitting textile for interior design
luminore on glass,coat glass,enable mixing,achieve border,,,,thermopane glazing outer layer
luminore on tiles,create patterns,apply coating,enhance durability,improve heat transfer,,,decorative tiles with metallic finishes
luminoso,conduct light,provide strength,embed fibre optical waveguides,,,,decorative lighting panels
luminous concrete,reinforce fibreglass,resist water,glow photoluminescent,,,,facade cladding with luminescent features
luminous glass,emit luminous energy,provide visual appeal,enable custom designs,,,,luminous wall tiles
luminous patterns,create light,enhance space,infuse pattern,stimulate senses,,,dynamic lighting panels for architectural features
lumiscopic,create illuminated surfaces,vary colour,apply decorative graphic,,,,large scale lighting panel
lumistone,emit afterglow,ensure durability,provide flame resistance,,,,emergency exit signage with photoluminescent features
lumisty,scatter light,transmit light,control view,enhance appearance,,,view control window film for retail displays
luna trout leather,minimize impact,easy to use,innovative material,,,,ornamental leather goods
luna,highlight nesting,encourage exploration,invite participation,,,,handcrafted glass and aluminum tile collection
lupine fibreboard,stabilise soil,decompose biodegradably,remove bitter compounds,,,,biodegradable insulation board for construction
lustralite,create surface,add sheen,provide texture,create pattern,,,decorative laminates with textured finishes
lustre,resist wear,adhere quality standards,provide durability,offer hygiene,resist chemical stains,,floor tiles for high traffic areas
luxalon multi panel bxd ceiling,create designs,provide visual effects,highlight versatility,,,,directional ceiling system
luxar,reduce reflectance,provide durability,allow handling,enable invisibility,,,anti reflective glass for facades
luxepad,create insulation,maintain properties,reduce waste,blend fibres,transform materials,,high performing insulating pad
luxurious lycra,provide elasticity,enhance comfort,offer durability,resist chloride,,,swimwear and active sports apparel
luxury vinyl,provide floor covering,offer patterns,play with eyes,,,,durable floor covering solution
luxury walls,apply noun,cover noun,weave noun,,,,decorative wall coverings
lw light weight board,provide non combustibility,enable ease of handling,allow smooth painting,offer durability,ensure sound proofing,,non combustible internal lining for partitions
lycra with ceramic,prevent transparency,enhance durability,,,,,swimming wear that remains opaque
m ecodeck,provide decking,offer non slip,enable repair,allow recycling,,,eco friendly outdoor decking solution
m2uur,produce wall panels,install facing panels,incorporate digital images,,,,custom printed wall and façade coverings
madoca,apply nontransparent,manufacture panel blinds,create lampshades,enable uv ink printing,,,panel blinds and vertical blinds
madras,modify glass,corrode surface,deliver panel,,,,shower enclosure panels
mafi fresco,act massage,provide flooring,finish natural oil,,,,wellness area flooring
magic motion,create non static images,visualize linear movement,switch images,zoom in out,morph images,,three dimensional display technology
magic panel,provide heat,ensure efficiency,secure protection,,,,energy efficient heating panel
magink,change color,compress spring,expand spring,create design,provide range,,digital display system
maglia metallica,enable flexibility,provide durability,offer strength,,,,flexible metal mesh for architectural facades
magma,conserve wood,charred character,combine accent,develop structure,create pattern,,charred wood paneling for interiors
magna glaskeramik,reduce waste,enhance aesthetics,provide durability,support sustainability,,,custom cut architectural panels
magnetic floor,reduce emissions,provide easy removal,ensure safety,,,,magnetic floor tiles
magnetic leather wall and floor tiles,covering wall,covering floor,mounting magnets,demounting magnets,cleaning easily,,indoor wall and floor covering tiles
magnetic zipper,magnetically attach,automatically align,lock into place,,,,one handed closing zipper for winter wear
magoxid coat,improve surface properties,provide wear protection,provide corrosion protection,meet hardness requirements,ensure dimensional accuracy,allow lubricant absorption,coating for automotive clutch components
magpaint,allow magnets,transform wall,build layer,strengthen receptivity,,,magnetic receptive wall surface
majestic gemstone,manufacturing surfaces,cutting processed,designing home,,,,inlaid stone tabletops
makrofol,provide clarity,offer impact resistance,enable light diffusion,allow easy thermoforming,support excellent ink adhesion,,automotive instrument panels
makustik,generate acoustic value,achieve absorption values,integrate insulation,,,,acoustic panels for sports halls
malai biocomposite,provide flexibility,offer water resistance,serve as leather alternative,enable seamless moulding,,,biocomposite sheets for sustainable fashion accessories
manulatex,weaving mail,producing luxury material,providing protection,,,,protective clothing and curtains
mappy foam,sound insulating material,self extinguishing foam,chemical resistant material,moisture resistant material,,,sound insulation in partition walls
mar carbon diago cot,provide waterproofing,offer durability,ensure flexibility,,,,boat coverings and gym mats
mar pol 1000 piramidi,create tarpaulin,provide waterproofing,offer fire resistance,,,,technical waterproof bags
marble,provide warmth,create texture,prevent shedding,offer resilience,,,hand woven carpet with unique structure
marbon,join using adhesive,offer natural look,provide hygienic surface,,,,integrated countertop design
marbré,provide non slip surface,offer durability,resist scratching,support high traffic use,,,custom marbled floor covering
marinedeck,reduce heat loss,provide non skid surface,offer fire resistance,allow easy cleaning,,,non skid deck surface for boats
marinex bearings,provide mechanical strength,resist shear,resist creep,resist marine growth,machine without dust,maintain dimensional stability,marine shaft and rudder bearings
markspelle textiles,provide fire resistance,offer wash ability,ensure durability,enable climate control,,,interior textiles for climate control in modern architecture
marlan,resist water,resist temperature,resist stains,provide hygiene,allow repair,,bathroom vanities and sinks
marmodur marble composite flooring,withstand traffic,create floor,resist wear,revitalize floor,,,seamless flooring for laboratories and factories
marmoleum co2 neutral,reduce co2,provide sustainability,create beautiful environment,,,,co2 neutral flooring solution
marmoleum marbled,provide nature,enhance aesthetic,combine surface,,,,sustainable floor covering
marmoleum modular,create floor,sustainability enhance,design allow,,,,sustainable flooring tiles
marmoreal,engineered noun,suitable noun,customisation noun,,,,architectural surface tiles and slabs
marmoroc,provide aesthetic appeal,enable easy replacement,offer weather resistance,create façade patterns,,,facade cladding for multi storey buildings
marwoolus,create unique products,coat walls,form table tops,,,,indoor wall coating and table tops
masa,reduce transmission,increase hydrophilicity,achieve adhesion,control thermal,provide anti bacterial,,washable sports apparel
mastalmond,colorant pigment,enhance sustainability,additive filler,,,,biodegradable plastic masterbatch for toys
masterfoam,seal water,isolate vibration,insulate acoustic,insulate temperature,,,self adhesive sealing strips for windows
matt lacquer,create smooth finish,reduce reflectance,allow brilliant colors,,,,decorative laminate panels
matterpieces,reduce reliance,divert waste,lower emissions,enhance aesthetics,,,premium cladding material for building facades
mattrtm,offer alternative,reduce reliance,enable biodegradation,withstand abrasion,allow adaptability,provide customization,upholstery for automotive interiors
matude woodline graphite random,absorb sound,create dynamic effect,facilitate assembly,,,,acoustic wall panel system
mbi concrete facing bricks,provide structure,offer aesthetic,ensure durability,simplify installation,,,interior wall cladding with textured finish
md expanded metal façade cladding,create facade,provide sun control,allow transparency,enable fixing,reduce waste,,sun resistant facade cladding
md lighting elements,emit light,illuminate dynamically,resist scratches,display colours,,,illuminated glass panels for interior lighting
the meat project,recycle material,decellularise process,shape object,dry object,glue material,dye material,lighting objects inspired by bacteria
mechnochromic material,change colour,change transparency,respond to stimuli,,,,smart window technology
mediamesh,integrate digital imagery,display full video quality,control leds remotely,install transparent system,,,transparent media façade for advertising
medtextra,manage moisture,deliver active ingredients,shed excess moisture,hold moisture,,,self moisturising textile for drug delivery
meftex,achieve parameters,retain characteristics,maintain properties,,,,metallized nonwoven fabric for high load applications
megawood,bind polymer,cultivate sustainably,resist uv,resist weather,resist scratch,,outdoor terrace deck
melatone polycarbonate,integrate natural elements,provide translucence,offer smooth texture,,,,translucent decorative panels
mellanyl,serve substitute,resemble sheets,printable sheets,cut sheets,bend sheets,mill sheets,point of sale displays
mellow face,create skin,finish impermeable,provide hygiene,allow customization,,,waterproof outdoor furniture
melt to wealth,develop novel fabric,grind discarded clothing,mix fabric pieces,press new cloth,,,non woven fabric for sustainable clothing
melting works,create art,melt structure,laser etch,,,,textile art forms for galleries
merck effect pigments,create colour effects,provide lustre,support conductive properties,,,,automotive paint with iridescent effects
merdacotta,mix noun,extract noun,bake noun,,,,odourless ceramic tiles and tableware
meta coat,improve temperature resistance,improve wear resistance,improve chemical resistance,enhance solderability,,,metal coated plastic components for soldering
metafuse,apply nanocrystalline layer,manufacture lightweight components,improve strength and stiffness,add wear resistant coating,enhance conductivity and stability,,lightweight structural components with complex shapes
metal collection,create depth,show fine structure,reflect light,,,,contract loop carpets with metallic appearance
metal grills,create components,achieve solutions,provide utility,offer beauty,,,decorative metal trim
metal laminate,laminate surface,connect layer,deposit layer,,,,fronts for carcass furniture
metal mesh systems,reduce solar heat gain,provide fall protection,enhance safety,serve as a space divider,cover walls,,building facade with shading capabilities
metal meshes for architecture,increase transparency,decrease density,create optical effects,provide toughness,support structures,,architectural facade elements
metal meshes,provide safety,enhance soundproofing,offer insulation,enable transparency,facilitate easy cleaning,,laminated glass panels with metal meshes
metal structural surfaces,create surface,provide waterproofing,offer durability,allow customization,,,interior and exterior cladding panels
ignorance is bliss ceramic tiles,recover value,apply pigment,produce tiles,ensure colours,create variations,,interior and exterior ceramic tiles
metal woven textiles,provide flexibility,offer stain resistance,ensure non flammability,deliver anti static properties,,,room dividers and wall coverings
metalbrick,provide durability,offer aesthetic appeal,resist weathering,enable customization,,,metal accented wall panels
metalcast,create surface,provide finish,customize appearance,,,,decorative door casing
metalkern,provide nonstructural support,offer weather resistance,enable easy installation,ensure impact resistance,allow low maintenance,,decorative exterior cladding panels
foin metallic mesh,reflect light,create play,provide protection,,,,protective gloves and aprons for food processing
metallic wood,create panel,control noise,diffuse sound,,,,modular wall tile for noise control
metalspray,coat surface,oxidize exterior,simulate metal feel,,,,decorative metal like finish for objects
metawell,bonding cover sheets,adapting characteristics,developing lightweight panels,providing high rigidity,,,lightweight sandwich panels for transportation
metile,reflective surface,anti slide properties,anti scratch properties,,,,decorative floor tiles
metis seagrass,repurpose waste,create panels,provide aesthetic appeal,bond bio based materials,,,wall coverings made from seagrass panels
métisse recycled textile insulation,regulate moisture,provide insulation,reduce energy bill,improve acoustics,,,thermal and acoustic insulation for buildings
metpore metal foam,provide heat exchange,support filtration,enable infrared burner,,,,heat exchanger for industrial processes
mevocem,reduce carbon emissions,enable sustainable construction,ensure superior performance,,,,ready mix concrete for construction
mgx,create object,add slice,harden material,,,,3d printed lamp
miacore,provide rigidity,offer fire resistance,support heavy coverings,,,,lightweight wall panels for boats
mica laminates,provide translucent infill,bind fiberglass,allow thermoforming,enable recyclability,,,translucent infill panels for food environments
michelangelo print,achieve high resolution printing,allow printing on rigid media,control contour recognition,provide homogeneous colour results,,,decorative glass and metal surfaces
micro perforated veneer,absorb sound,create patterns,form panels,,,,acoustic wall panels with decorative designs
micro perforation panels,absorb sound,reduce sound vibrations,improve aesthetics,provide appearance,,,acoustic wall panels for office spaces
microcemento,renovate floor,replace carpet,apply on surfaces,customize room,,,floor and wall renovation system
microfiber plus,create texture,integrate structure,provide softness,offer supple feel,,,synthetic suede upholstery for furniture
microfibre vinyl,replace noun,resist noun,clean verb,,,,upholstery for public seating areas
microlouvre,control solar radiation,reduce solar heat gain,regulate light transmission,act glare reduction,mitigate fire spread,provide privacy,ventilated façade systems
micromoulded biocomposites,change material qualities,mould raw material,automated joining layers,3d shaping sheet,,,functional parts in furniture design
micronal pcm,absorb energy,release energy,increase thermal capacity,dampen temperature swings,,,interior temperature management system in buildings
barrisol microsorber,reduce sound reflexion,convert sound energy,reduce reverberation times,reduce sound levels,,,acoustic panel for sound optimization
microthin,create panel,reduce weight,enable translucency,,,,lightweight wall cladding system
mikado,create module,cover floor,cover wall,,,,laminated wood flooring and wall tiles
mikor,provide strength,create lightweight structure,exhibit chemical resistance,enable dimensional stability,extend versatility,,composite structural panels for aerospace
milkofil,stimulates blood circulation,absorbs humidity,is a natural antibacterial agent,allows skin to breathe,,,underwear and bedding textiles
mill finished zinc,develops patina,provides algaecidal properties,requires little maintenance,,,,architectural countertops and ornamentation
millad nx8000,enable substitution,increase beauty,provide clarity,offer flexibility,ensure lightweight,,food storage containers
millboard envello facade cladding,provide nature,resist weather,reduce maintenance,enhance aesthetics,,,sustainable outdoor facade cladding
millennium full,provide durability,offer lightweight structure,enhance impact resistance,,,,high performance footwear linings
mineral system honeycomb panel,provide cladding,bond structure,support weight,resist weather,finish surface,,large size lightweight cladding solutions
minimal art recycled pet felt,absorb sound,laminate backing,provide acoustic insulation,,,,acoustic wall covering
mirabilia wallcovering,transform surface,catch light,stimulate interaction,resist water,ease cleaning,,3d textured wall covering
miro silver,enhance reflectivity,increase illumination efficiency,provide uv stability,,,,highly reflective lighting reflectors
mirox 3g,reflective mirror,ecological mirror,resistant corrosion,resistant scratches,,,safety mirror for bathrooms
mirror metal glazes,create coloured surface,maintain reflecting function,apply cold spraying technique,,,,coloured mirror surface design
miscanthus biopolymer,absorb sound,insulate thermal,reduce weight,,,,biodegradable flower pot
mithos,provide aesthetic decoration,enable indoor outdoor use,resist weather elements,allow easy cleaning,,,mosaic wall covering for indoor and outdoor spaces
m m,allowing flexibility,rendering atmosphere,providing texture,,,,decorative packaging panels
mnml 101,provide resilience,allow outdoor use,enable indoor use,create flat structure,offer medium texture,,outdoor and indoor hand braided rugs
modcraft,create tile,provide durability,allow customization,lend texture,,,handmade decorative wall tiles
modular dimension,provide diversity,offer modularity,support sustainability,allow creative expression,,,modular carpet tile flooring
modulari,provide partitions,act decorative element,offer uv stability,enable easy cleaning,return original shape,,modular room dividers for offices
mogu acoustic,maximize sound absorption,provide acoustic comfort,slow down flame spread,improve fire reaction,,,acoustic wall panels for noisy environments
mogu floor flex,replace pigments,support circular approach,provide soft touch,allow customisation,enable continuity,,flexible flooring for high traffic areas
mogu pluma,absorb sound,provide insulation,create customization,enhance aesthetics,,,modular acoustic wall panels
mogul illuminious,absorb light,luminous dark,,,,,light emitting fabric for safety clothing
mogul softflex,convert polymer,produce nonwoven fabric,bond thermal,,,,bedding products
mohair collections,maintain craftsmanship,renew design,develop composition,finish texture,,,textiles for interior decor
mohair kaschmir paper,provide softness,enable printing,offer texture,support die cutting,,,business card printing
mohair,provide warmth,offer softness,exhibit sheen,enhance durability,create unique textures,,luxury upholstery fabric for furniture
molded pu,combine noun,customize verb,resist abrasion,endure hydrolysis,provide flexibility,,sports shoes and bags
molelk,recycle noun,aggregate noun,surface noun,,,,table tops and furniture surfaces
molly,create fabric,combine textiles,provide comfort,,,,upholstered seating solutions
momi and yanagi lokta paper,provide strength,resist insects,offer texture,allow dyeing,,,handmade decorative paper for crafts
mondaplen,absorb bumps,adapt product,protect packaging,,,,protective packaging for fragile items
moniflex,provide insulation,resist humidity,resist vibrations,reduce weight,,,insulation for passenger rail vehicles
monocolor bicolor,provide aesthetic,serve as flooring,offer weather resistance,,,,outdoor decorative tile installation
monterey,provide durability,ensure flame resistance,minimize yarn loss,,,,residential and commercial carpet flooring
moonless night,provide decorative,create luxurious look,enhance tactile structure,offer glossy finish,,,high quality decorative wall panels
morning ritual,reduce waste,bind materials,create containers,,,,biodegradable coffee containers
morphogenese,knitted material,resilient texture,smooth surface,,,,textile for fashion garments
mosaic tiles by mozenzi,provide fire resistance,enable self adhesion,allow easy cutting,support durable design,,,self adhesive mosaic wall tiles
mosaico,create tile,apply tile,resist uv,flexible application,,,custom digital image tiles for interior and exterior use
mosaico dados,decorate walls,adapt surfaces,form curves,,,,mosaic wall decoration in swimming pools
mosaico d asolo,provide aesthetic,ensure waterproofing,offer uv resistance,allow precision fitting,,,decorative wall and floor mosaic
mosaico moon glacier metallic,decorate walls,cover surfaces,adapt large areas,,,,interior wall and floor decoration
moso bamboo industrial flooring,provide nature,create floor,enhance sustainability,support thermal,offer durability,,industrial flooring for heavy duty projects
moso bamboo n durance cladding,provide durability,enhance weather resistance,offer fire safety,facilitate secure installations,,,exterior cladding for building facades
moso bamboo n finity,replace aluminium,support structures,join strips,,,,indoor construction beams for structural elements
moso bamboo n vision,laminate beam,carbonise colour,close end,strengthen insert,,,hollow structural beams for interior design
moso bamboo solid beam,provide structural support,replace tropical hardwood,offer dimensional stability,ensure durability,enable easy processing,,window and door frames
moso bamboo solid panel,create panel,provide stability,offer durability,enhance aesthetics,,,staircase railing and furniture surfaces
moso bamboo tiger panel,compress nature,provide appearance,act alternative,contribute sustainability,,,interior wall paneling and furniture
moso bamboo x treme cladding,provide durability,increase stability,enhance density,achieve fire safety,allow installation,,exterior wall cladding for commercial buildings
moso flexbamboo,provide aesthetical,offer sustainability,ensure renewability,enable flexibility,facilitate easy installation,,customized flexible flooring solution
moss concrete,foster biodiversity,enhance aesthetics,retain moisture,support moss growth,cool structures,,moss covered building facades
moss lam finishes,create artwork,install finishes,supervise projects,,,,custom interior finishes for spaces
mother of pearl mosaics,provide luxurious finish,offer lightweight structure,ensure good weather resistance,allow for external use,,,decorative wall cladding in luxury residences
mother of pearl,create wallpaper,install easily,resist stains,turn corners,,,wall covering with inlaid shell tiles
mother of pearl mosaic tiles,decorate walls,finish surfaces,resist fire,resist uv,resist weather,,decorative wall and floor tiles for wet areas
mould texturing,reproduce logos,create unique patterns,increase gloss,simulate aesthetic impact,improve functionality,,textured molds for product design
moulded felt,maintain strength,vary softness,create 3d shapes,add prints,,,custom shaped acoustic panels
moulded wood,create products,be recyclable,be fire resistant,,,,fire resistant furniture design
mr fluid,change nature,enhance lubricity,modify viscosity,inhibit wear,,,active suspension system for vehicles
msd panels,provide strength,create lightweight,enable reversibility,,,,interior wall panels for decoration
multiline infinity,provide durability,offer waterproofing,ensure stability,enhance aesthetics,,,floating floor tiles for residential use
multiple reading glazes complexity,provide novel aesthetics,enhance durability,offer light reflection,enable custom design,,,glazed ceramic façades in buildings
mushroom materials,digesting crop waste,self assembling glue,producing environmentally responsible materials,,,,home compostable packaging solution
mushroom textile,permit light,provide finish,serve packaging,,,,sustainable wall covering
muskin,stop bacteria proliferation,absorb moisture,release moisture,provide breathability,offer soft feel,,hygienic shoe insoles
mute flow pet felt acoustic panels,minimise sound,decrease reverberation,demonstrate acoustic performance,,,,acoustic panels for open plan offices
mute fit pet felt acoustic panels,absorb noises,ensure continuous pattern,serve acoustic purpose,serve aesthetic purpose,,,acoustic panel for commercial interiors
myceen,bind organic waste,create biodegradable materials,store co2,absorb sound,reduce waste,,sound absorbing building panels
mycelium foam,provide cushioning,offer structural stability,support biodegradability,,,,lightweight cushioning foam for packaging
mycera,increase structural performance,allow bio welding,substitute cement based binders,,,,3d printed building components
myco board,bind particles,replace wood,deliver biocomposites,form shapes,,,structural biocomposite boards
